archduchy_foa;Your Majesty;Votre Majesté;Eure Majestät;;Su Majestad;;;;;x
archduchy_prefix;Archduchy of;Archiduché de;Erzherzogtum von;;Archiduque de;;;;;x
archduchy_title;Archduke;Archiduc;Erzherzog;;Archiduque;;;;;x
archduchy_title_female;Archduchess;Archiduchesse;Erzherzögin;;Archiduquesa;;;;;x
baron_foa;My Lord;Mon Seigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
baron_foa_female;My Lady;Ma Dame;Meine Fürstin;;Mi Señora;;;;;;;;;x
BASILEUS_TITLE;Basileus;Basileus;Basileus;;Basileo;;;;;x
BASILEUS_TITLE_FEMALE;Basilissa;Basilissa;Basilissa;;Basilissa;;;;;x
CALIPH;Caliph;Calife;Kalif;;Califa;;;;;;;;;x
CALIPH_FOA;Your Imperial Majesty;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Real Majestad;;;;;;;;;x
CALIPHA;Calipha;Califa;Kalifa;;Califa;;;;;;;;;x
CAPTAIN;Captain;Capitaine;Hauptmann;;Capitán;;;;;;;;;x
CAPTAIN_FEMALE;Captain;Capitaine;Kapitänin;;Capitana;;;;;;;;;x
CAPTAIN_FOA;Captain;Capitaine;Hauptmann;;Capitán;;;;;;;;;x
CHILD_CRUSADER;Puer;Puer;Puer;;Puer;;;;;;;;x
CHILD_CRUSADER_FEM;Puera;Puera;Puera;;Puera;;;;;;;;x
CHILD_CRUSADER_FOA;Puer;Puer;Puer;;Puer;;;;;;;;x
CIHUATLATOANI;Cihuatlatoani;Cihuatlatoani;Cihuatlatoani;;Cihuatlatoani;;;;;;;;x
city_baron_foa;Your honor;Votre Seigneurie;Euer Ehren;;Su Honor;;;;;;;;;x
city_count_foa;Your honor;Votre Honneur;Euer Ehren;;Su Honor;;;;;;;;;x
city_duke_foa;Your Grace;Votre Grâce;Euer Gnaden;;Su Gracia;;;;;;;;;x
city_emperor_foa;Your Highness;Votre Altesse;Eure Hoheit;;Su Alteza;;;;;;;;;x
city_king_foa;Your Serene Grace;Votre Altesse Sérénissime;Euer Durchlauchter Gnaden;;Su serena Gracia;;;;;;;;;x
CONDOTTIERO;Condottiere;Condottiere;Condottiere;;Condotiero;;;;;;;;;x
CONDOTTIERO_FOA;Condottiere;Condottiere;Condottiere;;Condotiero;;;;;;;;;x
COPTIC_POPE;Coptic Pope;Pape miaphysite;Koptischer Papst;;Papa Copto;;;;;;;;;x
count_foa;My Lord;Monseigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
count_foa_female;My Lady;Madame;Meine Fürstin;;Mi Señora;;;;;;;;;x
DEDEBABA;Dedebaba;Dedebaba;Dedebaba;;Dedebaba;;;;;;;;;x
domestic;Domestic;Domestic;Domestik;;Doméstico;;;;;;x
domestic_byzantine;Domestikos;Domestikos;Domestikos;;Domestikos;;;;;;x
domestic_female;Domestic;Domestic;Domestik;;Doméstica;;;;;;x
domestic_FOA;Domestic;Domestic;Domestik;;Doméstico;;;;;x
domestic_latin;Domesticus;Domesticus;Domesticus;;Domesticus;;;;x
duke_foa;Your Grace;Votre Grâce;Euer Gnaden;;Su Gracia;;;;;;;;;x
ECUMENICAL_PATRIARCH;Ecumenical Patriarch;Patriarche oecuménique;Ökumenischer Patriarch;;Patriarca ecuménico;;;;;;;;;x
ECUMENICAL_PATRIARCH_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
emperor_foa;Your Imperial Majesty;Votre Majesté Impériale;Eure Kaiserliche Majestät;;Su Majestad Imperial;;;;;;;;;x
family_palace_baron_foa;Sir;Messire;Sir;;Señor;;;;;;;;;x
FIRST_VAIDILA;First Vaidila;Premier Vaidila;Erste Vaidila;;Primer vaidila;;;;;;;;x
FIRST_VAIDILUTE;First Vaidilute;Première Vaidilute;Erster Vaidilut;;Primera vaidilute;;;;;;;;x
FYLKIR;Fylkir;Fylkir;Fylkir;;Fylkir;;;;;;;;;x
FYLKIR_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
FYLKJA;Fylkja;Fylkja;Fylkja;;Fylkja;;;;;;;;;x
GRAND_DUCHY_PREFIX;Grand Duchy of;Grand duché de;Großherzogtum;;Gran Ducado de;;;;;x
GRAND_DUCHY_RULER;Grand Duke;Grand duc;Großherzog;;Gran Duque;;;;;x
GRAND_DUCHY_RULER_FEMALE;Grand Duchess;Grande duchesse;Großherzögin;;Gran Duquesa;;;;;x
GRANDHEADMASTER;Grand Headmaster;Grand-Maître;Eminenz;;Gran Director;;;;;;;;;x
GRANDHEADMASTER_FOA;Your Excellency;Votre Excellence;Eure Exzellenz;;Su Excelencia;;;;;;;;;x
GRANDMASTER;Grandmaster;Grand maître;Großmeister;;Gran maestro;;;;;;;;;x
GRANDMASTER_FOA;Your Excellency;Votre Excellence;Eure Exzellenz;;Su Excelencia;;;;;;;;;x
HEAD_AFRICAN_PRIEST;Grand Saltigue;Grand Saltigué;Großsaltigue;;Gran saltigue;;;;;;;;;x
HEAD_AFRICAN_PRIESTESS;Grand Saltigue;Grande Saltiguée;Großsaltigue;;Gran saltigue;;;;;;;;;x
HEAD_DALAI_LAMA;Dalai Lama;Dalaï-lama;Dalai Lama;;Dalai Lama;;;;;;;;;x
HEAD_KOHEN_GADOL;Kohen Gadol;Kohen Gadol;Kohen Gadol;;Kohen Gadol;;;;;;;;;x
HEAD_MOABADAN_MOABAD;Moabadan-Moabad;Moabadan-moabad;Moabadan-Moabad;;Moabadan-Moabad;;;;;;;;;x
HEAD_PRIEST;High Priest;Grand prêtre;Hohepriester;;Sumo Sacerdote;;;;;;;;;x
HEAD_PRIEST_FOA;Your Holiness;Votre Sainteté;Eure Heiligkeit;;Su Santidad;;;;;;;;;x
HEAD_PRIESTESS;High Priestess;Grande prêtresse;Hohepriesterin;;Suma Sacerdotisa;;;;;;;;;x
HEAD_ZUN_PRIEST;Dastur;Dastur;Dastur;;Dastur;;;;;;;;;x
HEAD_ZUN_PRIESTESS;Dastur;Dastur;Dastur;;Dastur;;;;;;;;;x
HIGH_CHIEF;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
HIGH_CHIEF_FOA;High Chief;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
HIGHPRIEST;High Priest;Grand prêtre;Hohepriester;;Sumo Sacerdote;;;;;;;;;x
HOCHMEISTER;Hochmeister;Hochmeister;Hochmeister;;Hochmeister;;;;;;;;;x
HOCHMEISTER_FOA;Your Excellency;Votre Excellence;Eure Exzellenz;;Su Excelencia;;;;;;;;;x
KING;King;Roi;König;;Rey;;;;;;;;;x
king_foa;Your Majesty;Votre Majesté;Eure Majestät;;Su Majestad  ;;;;;;;;;x
MEGASTRATEGISSA;Megastrategissa;Megastrategissa;Megastrata;;Megastrategissa;;;;;;;;x
MEGASTRATEGOS;Megastrategos;Megastrategos;Megastrategos;;Megastrategos;;;;;;;;x
MONOPHYSITE_POPE;Monophysite Pope;Pape monophysite;monophysitischer Papst;;Papa Monofisita;;;;;;;;;x
MONOTHELITE_PATRIARCH;Monothelite Patriarch;Patriarche monothélite;Monotheletismischer Patriarch;;Patriarca Monotelita;;;;;;;;;x
order_baron_foa;My Lord;Votre Grandeur;Mein Fürst;;Mi Señor;;;;;x
order_baron_foa_female;My Lady;Votre Grandeur;Meine Fürstin;;Mi Señora;;;;;x
order_count_foa;My Lord;Votre Grandeur;Mein Fürst;;Mi Señor;;;;;x
