# Consolidated religion localisation from Aguila o Sol and Sob o Anil
# Generated for the merged religion definitions; source spellings and descriptions are preserved.

AA;A'a;;;;;;;;;;;;;x
ABU_MURRAH;Abu Murrah;;;;;;;;;;;;;x
ADONAI;Adonai;Adonaï;Adonai;;Adonai;;;;;;;;;x
afro_syncretic;Afro-Syncretic;;;;;;;;;;;;;x
alawiyya;Alawiyya;;;;;;;;;;;;;x
alawiyya_DESC;Rather than adopt the cosmopolitan attitude of the Imamites, the 'Alawiyya community adheres to a fundamentalist version of Imamite theology. Like the Imamites, they also highly respect the post-event figure of Zakariyya, but they emphasize his martial exploits rather than his diplomatic ones. The 'Alawiyya are thus more warlike than mainstream Imamites and reject cosmopolitanism out of hand.;;;;;;;;;;;;;x
alurista;Alurista;;;;;;;;;;;;;x
american_native;Amerindian;;;;;;;;;;;;;x
americanist;Americanist;;;;;;;;;;;;;x
americanist_DESC;Americanists worship what must have been the true gods of the old world ? the statues of Father Washington, Lincoln, Jefferson and others clearly indicates who the ancient Americans worshiped. Those Americans built a great empire, so why not follow their beliefs and restore America to its former glory, gods and all?;;;;;;;;;;;;;x 
americanist_FEATURES;§Y*§! Are led by the President, who may be elected from any ruler of their faith above the age of 35. \n§Y*§! May undertake pilgrimages to their holy sites.;;;;;;;;;;;;;x
amero_syncretic;Amero-Syncretic;;;;;;;;;;;;;x
anabaptist;Anabaptist;;;;;;;;;;;;;x
anabaptist_DESC;The Anabaptists are a branch of Christianity originating from 16th century Europe, and are the forebears of American groups such as the Amish, Hutterites and Mennonites, which banded together to survive the post-cataclysm world. Anabaptists believe Christians should remain separate from the rest of the world, refuse to hold office, and refrain from violence except when absolutely necessary. These tenets make life after the apocalypse difficult, and often quite short.;;;;;;;;;;;;;x
anabaptist_FEATURES;§Y*§! Due to their avoidance of violence when possible, cannot use the Holy War CB. \n§Y*§! Anabaptists gain 1.00 piety per month when at peace.;;;;;;;;;;;;;x
angeline;Theresine;;;;;;;;;;;;;x
angeline_DESC;The Theresines, emerged after the Ursuline order became the main expression of catholicism in Quebecr. However, they live very different lives from their Ursuline cousins. Whereas the Ursulines emphasize the monastic lifestyle and the primacy of the Church, Theresines more strongly favor cohabitation with the natural world. They diverge in the use of The Lisieux Rite, innovating mainly in practices if not wholly in beliefs, due to the influence of other faiths near itself. The adherents of the rite believe that the natural world is inhabited by holy spirits, as a creation of God, and thus strive the most to take care of it. The temples of the faith are surrounded with beautiful gardens, and it's considered a sin to be wasteful and needlessly harm nature. More controversially the nuns engage in ecstatic rituals where they allow themselves to be possessed by the spirits of angels, saints and, even more rarely, demons, in order to seek aid, counsel regarding earthly matters, and strengthen their faith.;;;;;;;;;;;;;x
angeline_FEATURES;§Y*§! Rulers can order adult unlanded courtiers to become ordained.;;;;;;;;;;;;x
anglo_catholic;Anglo Catholic;;;;;;;;;;;;;x
anglo_catholic_DESC;Anglo Catholicism originates from the Anglican Church and the opinion of some Anglicans that their church is not simply another Protestant denomination but a branch of the historical Christian Church tracing its lineage more to Rome than London. This theological divide within the church ruptured after the Deluge due to opposition to the Anglican Communion’s attempt to form a broad tent with other Protestants. These Anglo Catholics rejected the Anglicans, but they also felt revulsion towards the grasping Mother Superior of the Ursulines and the self-styled Papacy further south. Due to these factors, the Anglos Catholics instead rallied around their newly-formed Primate of Canada, and they now strive to preserve their own historical apostolic succession of priests and bishops, and thus the Catholic sacraments.;;;;;;;;;;;;;x
antinomian;Jacobite;;;;;;;;;;;;;x
antinomian_DESC;Adherents of "Textus Receptus" or 'Received Text', the Jacobites believe that the Bible is the first and only source of God's divine word, and that the King James Version is the first and only Bible. Highly militant and distrusting of outsiders, the Jacobites adore and protect the sacred words entrusted to them, pouring over every last word, and will go to any lengths to fulfill their sacred duty.;;;;;;;;;;;;;x
aphite;Aphite;;;;;;;;;;;;;x
aphite_DESC;Originating in the hazy time of the event, Aphites believe and pay reverence to a church known as the Atomic Priesthood. The Atomic Priesthood teaches of a story of creation involving a great cosmic explosion that formed the many Elements that make up the world. However, by the hands of the Traitor-God Atomos, the state of the universe was defiled, and reality had become inherently tainted. Born from a strong medical tradition, Aphites place great importance on the healthiness of the human body, and as such, fear the damage radiation can cause. Aphites insist on fighting the darkness created by Atomos, and as such, are staunchly opposed to Atomicism.;;;;;;;;;;;;;x
aphite_FEATURES;§Y*§! Aphite rulers are highly aggressive. \n§Y*§! Aphite soldiers ignore defensive attrition. \n§Y*§! Aphite characters educated in theology are medically trained.;;;;;;;;;;;;;x
aria_de_machete;Aria de Machete;;;;;;;;;;;;;x
aria_de_machete_DESC;The Songs of Machete are the old oral tradition of the nomads who roam the Llanos. The storytellers preserve in the form of joropo ballads the tales of the terrifying "rancheros", capricious supernatural beings who govern the destinies of men. The faithful of the Llanos spirituality are sharply divided between those who think men should govern the land and those who favor the rule of women.;;;;;;;;;;;;;x #should we keep that last sentence in?
aria_de_machete_reformed;Aria de Machete;;;;;;;;;;;;;x
aria_de_machete_reformed_DESC;The Songs of Machete are the old oral tradition of the nomads who roam the Llanos. The storytellers preserve in the form of joropo ballads the tales of the terrifying "rancheros", capricious supernatural being who govern the destinies of men. The faithful of the Llanos spirituality are sharply divided between those who think men should govern the land and those who favor the rule of women. The reformed Aria de Machete faith has a new religious hierarchy and a codified holy text.;;;;;;;;;;;;;x
ASHE;Ashe;;;;;;;;;;;;;x
atomicist;Atomicist;;;;;;;;;;;;;x
atomicist_DESC;Atomicists believe that the god Atomos created the world in a vast explosion of energy, and that he inhabits an invisible plane of energy that intersects with the material world. In the days of yore, men could tap into this intangible world and use the gifts of Atomos to become gods themselves. Atomicists seek to relearn the secrets of that past age so that they too can unlock the power of the atom. However, Atomos does not always take kindly to those who try to harness his power...;;;;;;;;;;;;;x
atomicist_FEATURES;§Y*§! Atomicist parents may attempt to "bless" their newborns by exposing them to atomic radiation. \n§Y*§! Atomicists may choose to align themselves with one of three Particles. \n§Y*§! Pious Atomicists may try to go down the Radiant Path to more fully understand the nature of Atomos.\n;;;;;;;;;;;;;x
AWEN;Awen;;;;;;;;;;;;;x
BABYLON;Babylon;;;;;;;;;;;;;x
batenburger;Neo-Batenburger;;;;;;;;;;;;;x
batenburger_DESC;Neo-Batenburgers are a particularly violent group of Christians that emerged following the invasion of Anabaptist lands by Americanists. Followers of Neo-Batenburgism believe that the invasion was a sign that the doctrine of pacifism was to be abandoned entirely, rather than being merely relaxed. Followers of other Christian faiths condemn these heretics for their maintenence of harems and their tendency to violently raid the homes of non-believers.;;;;;;;;;;;;;x
batenburger_FEATURES;§Y*§! Neo-Batenburgers are prone to violence, and will go to war frequently.;;;;;;;;;;;;;x
BEEELIM;Bee'Elim;;;;;;;;;;;;;x
BONDYE;Bondye;;;;;;;;;;;;;x
brethren;Brethren;;;;;;;;;;;;;x
brethren_DESC;With a strong tradition of seafaring and a reputation for robbery and murder, most call the Brethren pirates. This assessment is not far from the truth. Though the Brethren follow a Code of the Sea, they are loosely organized and live mostly to plunder riches from the weak. All of their gods have some link to the ocean, which they consider the source of all life and all wealth.;;;;;;;;;;;;;x
brethren_FEATURES;§Y*§! Brethren rulers must commit to following the lifestyle of a pirate, and may select from one of three ways of doing so.;;;;;;;;;;;;;x
CAESAR;Caesar;;;;;;;;;;;;;x
catholic;Conclavist;;;;;;;;;;;;;x
catholic_DESC;Catholicism is one of the oldest branches of Christianity, and it survived the cataclysmic events of centuries past by the skin of its teeth. After the Deluge, the surviving Catholic hierarchy in America received word of a divine apparition that confirmed the destruction of the Papacy in Rome and gave the surviving American cardinals the right to elect a new Bishop of Rome from their number. The new American Popes lacked a permanent temporal seat for centuries ? a period known as "the Wandering Papacy" ? until control over the old city of St. Louis in Missouri was finally established in the late 24th century. Because of its association with the Papacy, St. Louis earned the nickname "New Rome", although this term is not officially used by the Catholic Church. The formal head of the religion is the Bishop of Rome ? the Pope.;;;;;;;;;;;;;x
celtic_pagan;Fogsinger;;;;;;;;;;;;;x
celtic_pagan_DESC;The Fogsongs tell of Brother Jack, the defender of humanity and his sacrifice long ago. During the Moratorium, when the seas were empty and the fishermen starved, Jack sought a resolution. He was told by Father Patrick what he must do, and jumped into the ocean. There he transformed into a great Whale, and from his maw flowed all the life of the seas. The seas were rejuvenated - but humanity, no longer under the protection of Brother Jack, fell into chaos. The Fairies and Spirits returned to the lands of man, wreaked magical havoc and trickery upon them. The Fogsingers still remember the sacrifice of Jack to sustain them, but now they must contend against those from the Otherworld.;;;;;;;;;;;;;x
celtic_pagan_FEATURES;§Y*§! Only characters with the Druid trait can be appointed as Chancellor for a Fogsinger realm.\n;;;;;;;;;;;;;x
celtic_pagan_reformed;Fogsinger;;;;;;;;;;;;;x
celtic_pagan_reformed_DESC;The Fogsongs tell of Brother Jack, the defender of humanity and his sacrifice long ago. During the Moratorium, when the seas were empty and the fishermen starved, Jack sought a resolution. He was told by Father Patrick what he must do, and jumped into the ocean. There he transformed into a great Whale, and from his maw flowed all the life of the seas. The seas were rejuvenated - but humanity, no longer under the protection of Brother Jack, fell into chaos. The Fairies and Spirits returned to the lands of man, wreaked magical havoc and trickery upon them. The Fogsingers still remember the sacrifice of Jack to sustain them, but now they must contend against those from the Otherworld.;;;;;;;;;;;;;x
celtic_pagan_reformed_FEATURES;§Y*§! Only characters with the Druid trait can be appointed as Chancellor for a Fogsinger realm.\n;;;;;;;;;;;;;x
cetic;Cetic;;;;;;;;;;;;;x
cetic_DESC;The Cetic philosophy involves the study of philosophical writings by a number of Great Teachers (Gurus), including the Emperor, Buddha, Christ, and Hubbard. Adherents seek enlightenment through meditation, discussion of the writings, and living ascetic lifestyles ? this last practice is where the philosophy takes its name. The first Emperor of California formally organized the faith with secular and religious power deeply intertwined within the imperial title, and the head of the faith is traditionally chosen from among his descendants.;;;;;;;;;;;;;x
cetic_FEATURES;§Y*§! Adherents follow one of five specific Ways (schools of Cetic thought). \n§Y*§! Strong Cetic Emperors may incorporate Gaianism into the Way of the Branch if they control the Kingdom of Cascadia.\n§Y*§! Homosexual Way of the Branch Adherents may marry other homosexual characters.;;;;;;;;;;;;;x
