#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Decision
prepare_general_synod;Prepare for the General Synod;;;;;;;;;;;;;x
prepare_general_synod_desc;Consult your bishops and try to shape the agenda of the coming General Synod. Secular rulers influence their clergy but do not vote in the assembly.;;;;;;;;;;;;;x
prepare_general_synod_confirm;I will speak with my bishops.;;;;;;;;;;;;;x
prepare_general_synod_tooltip;Choose a method of influence and recommend an agenda to your bishops. Rank and the chosen method determine the strength of your influence.;;;;;;;;;;;;;x

# Preparation events
EVTNAME_synodal_synod_0010;Preparations for a General Synod;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0010;Letters sealed by the Synodal Chancery have gone out from [d_synodal.Holder.Location.GetName]. The bishops are summoned to prayer, consultation, and common judgment. As Presiding Prelate, I must arrange their assembly and faithfully proclaim whatever the fathers decide.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0010;Let the churches prepare their delegates.;;;;;;;;;;;;;x

EVTNAME_synodal_synod_0020;The Bishops Have Been Summoned;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0020;The Synodal Chancery announces that a General Synod will soon assemble at [d_synodal.Holder.Location.GetName]. I possess no vote in the council of bishops, but my own prelates will listen if I petition, persuade, patronize, or pressure them.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0020;I will consult my bishops.;;;;;;;;;;;;;x
EVTOPTB_synodal_synod_0020;The fathers must judge without my interference.;;;;;;;;;;;;;x

EVTNAME_synodal_synod_0030;Influencing the Fathers;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0030;My bishops prepare their petitions and arguments. I may appeal to conscience, fund the journey and works of the Church, invoke the needs of the realm, or compel obedience. The more worldly methods carry a greater danger of scandal.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0030;Persuade them with pious argument.;;;;;;;;;;;;;x
EVTOPTB_synodal_synod_0030;Provide generous patronage for their work.;;;;;;;;;;;;;x
EVTOPTC_synodal_synod_0030;Remind them of political realities.;;;;;;;;;;;;;x
EVTOPTD_synodal_synod_0030;Their obedience will be assured.;;;;;;;;;;;;;x
EVTOPTE_synodal_synod_0030;On reflection, I shall do nothing.;;;;;;;;;;;;;x

EVTNAME_synodal_synod_0040;A Petition to the General Synod;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0040;My clergy ask what cause they should commend to the assembled fathers. They remain free to judge, but a clear petition from their ruler will carry weight in their deliberations.;;;;;;;;;;;;;x
EVTOPTA_synodal_synod_0040;Defend the faithful and their homes.;;;;;;;;;;;;;x
EVTOPTB_synodal_synod_0040;Send missions to the scattered churches.;;;;;;;;;;;;;x
EVTOPTC_synodal_synod_0040;Reform the discipline of the clergy.;;;;;;;;;;;;;x
EVTOPTD_synodal_synod_0040;Confirm [d_synodal.Holder.Location.GetName] and the present Prelate.;;;;;;;;;;;;;x

# Conclusion
EVTNAME_synodal_synod_0200;The General Synod Concludes;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0200_TRIUMPHAL;With extraordinary attendance and a clear common judgment, the fathers rise together in prayer. The Presiding Prelate proclaims their decree to the churches, and the faithful acclaim a triumph of unity.;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0200_HARMONIOUS;After prayer and measured debate, the bishops reach a broad agreement. The Presiding Prelate proclaims the decision of the fathers, and the churches receive it in peace.;;;;;;;;;;;;;x
EVTDESC_synodal_synod_0200_CONTENTIOUS;The bishops reach a decision only after sharp debate and close votes. The Presiding Prelate proclaims the judgment of the assembly, though several churches record their reservations.;;;;;;;;;;;;;x
