###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Mexico
e_yucatan;Yucatán;Yucatán;Yucatán;Yucatán;;;;;;;;;x
e_yucatan_adj;Yucatanense;Yucatanense;Yucatanense;Yucatanense;;;;;;;;;x
k_yucatan;Yucatán;Yucatán;Yucatán;Yucatán;;;;;;;;;x
k_yucatan_adj;Yucateco;Yucateco;Yucateco;Yucateco;;;;;;;;;x
d_merida;Mérida;Mérida;Mérida;Mérida;;;;;;;;;x
d_merida_adj;Meridense;Meridense;Meridense;Meridense;;;;;;;;;x
d_puuc;Puuc;Puuc;Puuc;Puuc;;;;;;;;;x
d_puuc_adj;Puuc;Puuc;Puuc;Puuc;;;;;;;;;x
c_maxcanu_adj;Maxcanuense;Maxcanuense;Maxcanuense;Maxcanuense;;;;;;;;;x
c_ticul_adj;Ticuleño;Ticuleño;Ticuleño;Ticuleño;;;;;;;;;x
c_tekax_adj;Tekaxeño;Tekaxeño;Tekaxeño;Tekaxeño;;;;;;;;;x
d_valladolid;Valladolid;Valladolid;Valladolid;Valladolid;;;;;;;;;x
d_valladolid_adj;Vallisoletano;Vallisoletano;Vallisoletano;Vallisoletano;;;;;;;;;x
c_valladolid_adj;Valladolidense;Valladolidense;Valladolidense;Valladolidense;;;;;;;;;x
c_holbox_adj;Holboxense;Holboxense;Holboxense;Holboxense;;;;;;;;;x
c_tizimin_adj;Tizimeño;Tizimeño;Tizimeño;Tizimeño;;;;;;;;;x
c_tinum_adj;Tinumense;Tinumense;Tinumense;Tinumense;;;;;;;;;x
d_izamal;Izamal;Izamal;Izamal;Izamal;;;;;;;;;x
d_izamal_adj;Izamaleño;Izamaleño;Izamaleño;Izamaleño;;;;;;;;;x
c_izamal_adj;Izamaleño;Izamaleño;Izamaleño;Izamaleño;;;;;;;;;x
c_celestun_adj;Celestunense;Celestunense;Celestunense;Celestunense;;;;;;;;;x
c_hunucma_adj;Hunucmaense;Hunucmaense;Hunucmaense;Hunucmaense;;;;;;;;;x
c_tecoh_adj;Tecohense;Tecohense;Tecohense;Tecohense;;;;;;;;;x
c_motul_adj;Motuleño;Motuleño;Motuleño;Motuleño;;;;;;;;;x
c_merida_adj;Meridano;Meridano;Meridano;Meridano;;;;;;;;;x
c_dzilam_adj;Dzilamense;Dzilamense;Dzilamense;Dzilamense;;;;;;;;;x


#Patagonia
e_patagonia;Patagonia;Patagonie;Patagonien;Patagonia;;;;;;;;;x
k_tierra_del_fuego;Tierra del Fuego;Terre de Feu;Feuerland;Tierra del Fuego;;;;;;;;;x
k_tierra_del_fuego_adj;Fueguino;;;;;;;;;;;;;x
c_cabo_de_hornos;Cape Horn;Cap Horn;Kap Hoorn;Cabo de Hornos;;;;;;;;;x
d_isla_del_fuego;Isla del Fuego;;;;;;;;;;;;;x
d_isla_del_fuego_adj;Fueguino;;;;;;;;;;;;;x
c_ushuaia;Ushuaia;;;;;;;;;;;;;x
c_ushuaia_adj;Ushuaiense;;;;;;;;;;;;;x
c_rio_grande_del_fuego;Río Grande;;;;;;;;;;;;;x
c_rio_grande_del_fuego_adj;Riograndense;;;;;;;;;;;;;x
c_timakuel;Timakuel;;;;;;;;;;;;;x
c_timakuel_adj;Timakuelense;;;;;;;;;;;;;x
d_yaganes;Yaganes;;;;;;;;;;;;;x
d_yaganes_adj;Yagán;;;;;;;;;;;;;x
c_navarino;Navarino;;;;;;;;;;;;;x
c_navarino_adj;Navarinense;;;;;;;;;;;;;x
c_hornos;Hornos;;;;;;;;;;;;;x
c_hornos_adj;Hornero;;;;;;;;;;;;;x
c_agostini;Agostini;;;;;;;;;;;;;x
c_agostini_adj;Agostiniano;;;;;;;;;;;;;x
k_malvinas;Malvinas;;;;;;;;;;;;;x
k_malvinas_adj;Malvinense;;;;;;;;;;;;;x
d_malvinas;Malvinas;;;;;;;;;;;;;x
d_malvinas_adj;Malvinense;;;;;;;;;;;;;x
c_isla_soledad;Soledad;;;;;;;;;;;;;x
c_isla_soledad_adj;Soledense;;;;;;;;;;;;;x
c_gran_malvina;Gran Malvina;;;;;;;;;;;;;x
c_gran_malvina_adj;Granmalvinense;;;;;;;;;;;;;x
c_lafonia;Lafonia;;;;;;;;;;;;;x
c_lafonia_adj;Lafoniano;;;;;;;;;;;;;x
c_san_gregorio;San Gregorio;;;;;;;;;;;;;x
c_san_gregorio_adj;Sangregoriano;;;;;;;;;;;;;x
c_laguna_blanca;Laguna Blanca;;;;;;;;;;;;;x
c_laguna_blanca_adj;Lagunense;;;;;;;;;;;;;x
c_riesco;Riesco;;;;;;;;;;;;;x
c_riesco_adj;Riesquino;;;;;;;;;;;;;x
c_dawson;Dawson;;;;;;;;;;;;;x
c_dawson_adj;Dawsoniano;;;;;;;;;;;;;x
c_punta_arenas;Punta Arenas;;;;;;;;;;;;;x
c_punta_arenas_adj;Puntaarenense;;;;;;;;;;;;;x
d_magallanes;Magallanes;;;;;;;;;;;;;x
d_magallanes_adj;Magallánico;;;;;;;;;;;;;x
k_magallanes;Magallanes;;;;;;;;;;;;;x
k_magallanes_adj;Magallánico;;;;;;;;;;;;;x

b_ushuaia_TF;Ushuaia;;;;;;;;;;;;;x
b_puerto_almanza_TF;Puerto Almanza;;;;;;;;;;;;;x
b_paso_garibaldi_TF;Paso Garibaldi;;;;;;;;;;;;;x
b_comandante_portillo_TF;Comandante Portillo;;;;;;;;;;;;;x
b_puerto_remolino_TF;Puerto Remolino;;;;;;;;;;;;;x
